recency,frequency,monetary,R_score,F_score,M_score,RFM,Segment
203,1,600.07,1,1,3,113,Others
93,1,121.74000000000001,2,1,1,211,Others
51,1,430.5,3,1,2,312,Others
18,6,1987.3,4,5,4,454,Others
18,4,501.12,4,4,3,443,Others
125,2,465.68,2,2,2,222,Others
92,3,711.41,2,3,3,233,Others
157,2,1030.4,2,2,4,224,Others
9,2,399.51,5,2,2,522,Recent
12,3,698.58,5,3,3,533,Recent
62,1,292.32,3,1,2,312,Others
61,1,557.62,3,1,3,313,Others
269,2,944.1,1,2,4,124,Others
263,1,200.29,1,1,1,111,Lost
1,35,7454.07,5,5,5,555,Champions
53,5,2107.66,3,4,5,345,Others
11,12,3834.2599999999998,5,5,5,555,Champions
3,19,4521.49,5,5,5,555,Champions
18,11,3214.69,4,5,5,455,Big Spenders
1,15,5346.2300000000005,5,5,5,555,Champions
366,1,590.0,1,1,3,113,Others
37,1,217.38,3,1,1,311,Others
31,2,276.56,4,2,2,422,Others
113,1,138.98,2,1,1,211,Others
64,2,590.9300000000001,3,2,3,323,Others
16,4,258.4,4,4,2,442,Others
41,1,542.73,3,1,3,313,Others
78,1,137.75,2,1,1,211,Others
122,3,814.86,2,3,3,233,Others
18,3,1132.14,4,3,4,434,Others
60,2,93.66,3,2,1,321,Others
331,1,201.19,1,1,1,111,Lost
23,4,2709.12,4,4,5,445,Others
156,1,361.11,2,1,2,212,Others
39,2,578.9399999999999,3,2,3,323,Others
190,2,873.74,1,2,3,123,Others
360,1,201.20000000000002,1,1,1,111,Lost
137,1,87.4,2,1,1,211,Others
8,4,2089.85,5,4,5,545,Recent
1,1,360.0,5,1,2,512,Recent
268,1,142.5,1,1,1,111,Lost
169,1,371.89,2,1,2,212,Others
104,4,618.09,2,4,3,243,Others
155,1,63.75,2,1,1,211,Others
351,1,300.42,1,1,2,112,Others
4,10,2000.86,5,5,4,554,Loyal
120,1,15.0,2,1,1,211,Others
23,3,1385.51,4,3,4,434,Others
7,5,1456.79,5,4,4,544,Recent
28,3,1132.03,4,3,4,434,Others
4,2,598.57,5,2,3,523,Recent
22,5,1555.32,4,4,4,444,Others
2,3,775.94,5,3,3,533,Recent
37,4,5977.7300000000005,3,4,5,345,Others
66,6,2273.68,3,5,5,355,Big Spenders
1,3,640.76,5,3,3,533,Recent
5,26,10845.550000000001,5,5,5,555,Champions
78,4,1548.7,2,4,4,244,Others
72,2,567.36,3,2,3,323,Others
17,1,199.48000000000002,4,1,1,411,Others
3,5,787.85,5,4,3,543,Recent
36,10,7121.95,3,5,5,355,Big Spenders
82,1,675.3,2,1,3,213,Others
39,8,3627.77,3,5,5,355,Big Spenders
316,1,1308.48,1,1,4,114,Others
32,2,789.0,4,2,3,423,Others
93,3,1140.93,2,3,4,234,Others
14,1,350.9,4,1,2,412,Others
82,3,3536.82,2,3,5,235,Others
77,1,795.12,2,1,3,213,Others
158,1,487.02,2,1,2,212,Others
201,1,860.12,1,1,3,113,Others
45,7,10736.48,3,5,5,355,Big Spenders
261,1,775.85,1,1,3,113,Others
178,1,353.43,2,1,2,212,Others
68,3,2543.72,3,3,5,335,Others
288,1,389.5,1,1,2,112,Others
70,1,341.36,3,1,2,312,Others
64,1,233.76,3,1,1,311,Others
11,1,247.32,5,1,1,511,Recent
16,2,979.12,4,2,4,424,Others
66,1,373.94,3,1,2,312,Others
60,1,397.97999999999996,3,1,2,312,Others
71,1,743.53,3,1,3,313,Others
122,1,674.7,2,1,3,213,Others
80,1,768.24,2,1,3,213,Others
257,1,609.95,1,1,3,113,Others
269,1,439.03,1,1,2,112,Others
64,1,439.56,3,1,2,312,Others
9,4,3090.7400000000002,5,4,5,545,Recent
18,2,992.5,4,2,4,424,Others
71,1,134.95999999999998,3,1,1,311,Others
34,2,2225.37,3,2,5,325,Others
50,1,56.160000000000004,3,1,1,311,Others
257,2,623.4,1,2,3,123,Others
366,1,308.28000000000003,1,1,2,112,Others
372,1,754.87,1,1,3,113,Others
90,1,378.64,2,1,2,212,Others
61,3,3312.25,3,3,5,335,Others
89,1,778.65,2,1,3,213,Others
99,3,1019.76,2,3,4,234,Others
26,3,572.56,4,3,3,433,Others
32,6,3639.31,4,5,5,455,Big Spenders
281,1,222.99,1,1,1,111,Lost
31,7,4151.93,4,5,5,455,Big Spenders
330,1,534.57,1,1,3,113,Others
131,2,677.1,2,2,3,223,Others
11,3,797.96,5,3,3,533,Recent
75,1,544.08,2,1,3,213,Others
204,1,59.8,1,1,1,111,Lost
2,8,2520.02,5,5,5,555,Champions
185,1,307.72,1,1,2,112,Others
29,2,1360.99,4,2,4,424,Others
73,5,1544.13,2,4,4,244,Others
192,1,457.34,1,1,2,112,Others
127,2,621.23,2,2,3,223,Others
18,1,75.0,4,1,1,411,Others
1,2,252.49,5,2,2,522,Recent
74,3,572.451,2,3,3,233,Others
2,62,28117.04,5,5,5,555,Champions
24,5,1003.06,4,4,4,444,Others
107,1,213.55,2,1,1,211,Others
134,3,1390.5,2,3,4,234,Others
44,2,712.5,3,2,3,323,Others
5,2,640.83,5,2,3,523,Recent
12,18,6127.43,5,5,5,555,Champions
64,1,221.06,3,1,1,311,Others
150,2,159.85,2,2,1,221,Others
40,2,1851.08,3,2,4,324,Others
64,1,2626.3,3,1,5,315,Others
108,3,1624.21,2,3,4,234,Others
1,10,3641.32,5,5,5,555,Champions
19,3,582.6,4,3,3,433,Others
10,1,218.47,5,1,1,511,Recent
11,4,1006.8,5,4,4,544,Recent
19,2,679.45,4,2,3,423,Others
67,2,1269.1,3,2,4,324,Others
74,2,534.24,2,2,3,223,Others
5,7,3809.8900000000003,5,5,5,555,Champions
2,1,196.89,5,1,1,511,Recent
14,7,3408.06,4,5,5,455,Big Spenders
255,1,283.71,1,1,2,112,Others
92,1,296.64,2,1,2,212,Others
23,3,1129.14,4,3,4,434,Others
17,6,3539.37,4,5,5,455,Big Spenders
24,1,291.88,4,1,2,412,Others
27,6,2043.7199999999998,4,5,4,454,Others
26,5,2976.15,4,4,5,445,Others
259,2,590.0,1,2,3,123,Others
166,2,356.97999999999996,2,2,2,222,Others
25,2,1058.34,4,2,4,424,Others
18,6,1766.72,4,5,4,454,Others
7,14,9646.57,5,5,5,555,Champions
29,2,183.44,4,2,1,421,Others
39,3,1445.0,3,3,4,334,Others
253,1,151.5,1,1,1,111,Lost
58,1,674.68,3,1,3,313,Others
184,1,307.9,1,1,2,112,Others
11,2,1083.71,5,2,4,524,Recent
2,37,5704.97,5,5,5,555,Champions
99,2,165.0,2,2,1,221,Others
1,4,2531.58,5,4,5,545,Recent
61,2,422.64,3,2,2,322,Others
236,1,229.59,1,1,1,111,Lost
191,4,1431.78,1,4,4,144,Others
179,2,1238.47,2,2,4,224,Others
38,6,1454.58,3,5,4,354,Others
201,2,300.95,1,2,2,122,Others
46,5,1804.56,3,4,4,344,Others
232,1,184.64,1,1,1,111,Lost
66,1,140.34,3,1,1,311,Others
241,1,313.8,1,1,2,112,Others
233,1,454.24,1,1,2,112,Others
78,3,1122.41,2,3,4,234,Others
58,3,575.4,3,3,3,333,Others
17,13,8968.31,4,5,5,455,Big Spenders
105,4,449.52,2,4,2,242,Others
52,10,1215.82,3,5,4,354,Others
136,3,1269.84,2,3,4,234,Others
275,2,618.63,1,2,3,123,Others
312,1,316.26000000000005,1,1,2,112,Others
8,5,2044.8700000000001,5,4,4,544,Recent
11,2,653.33,5,2,3,523,Recent
283,2,348.05,1,2,2,122,Others
18,5,1159.11,4,4,4,444,Others
23,3,1166.77,4,3,4,434,Others
288,1,1340.32,1,1,4,114,Others
17,3,292.0,4,3,2,432,Others
71,1,216.85,3,1,1,311,Others
64,1,295.93,3,1,2,312,Others
73,4,4393.63,2,4,5,245,Others
316,2,458.52,1,2,2,122,Others
3,4,2479.16,5,4,5,545,Recent
244,1,110.97,1,1,1,111,Lost
9,7,979.72,5,5,4,554,Loyal
1,4,1791.56,5,4,4,544,Recent
261,1,251.21,1,1,2,112,Others
127,1,205.1,2,1,1,211,Others
74,1,152.20000000000002,2,1,1,211,Others
73,4,891.12,2,4,3,243,Others
21,3,1389.41,4,3,4,434,Others
60,3,2128.42,3,3,5,335,Others
86,1,659.4399999999999,2,1,3,213,Others
78,1,122.75,2,1,1,211,Others
59,6,3624.35,3,5,5,355,Big Spenders
1,3,1093.65,5,3,4,534,Recent
30,1,125.80000000000001,4,1,1,411,Others
33,5,3964.88,4,4,5,445,Others
41,5,680.1800000000001,3,4,3,343,Others
15,2,628.78,4,2,3,423,Others
34,7,2287.51,3,5,5,355,Big Spenders
79,2,307.76,2,2,2,222,Others
205,2,483.8,1,2,2,122,Others
34,1,210.31,3,1,1,311,Others
183,3,270.79,1,3,2,132,Others
2,25,5870.08,5,5,5,555,Champions
1,7,3448.29,5,5,5,555,Champions
43,7,1280.85,3,5,4,354,Others
86,3,631.34,2,3,3,233,Others
40,2,291.41,3,2,2,322,Others
12,3,626.99,5,3,3,533,Recent
96,2,682.41,2,2,3,223,Others
26,7,918.2,4,5,3,453,Others
319,1,91.80000000000001,1,1,1,111,Lost
66,12,3740.07,3,5,5,355,Big Spenders
74,4,4149.28,2,4,5,245,Others
28,2,584.06,4,2,3,423,Others
6,4,605.06,5,4,3,543,Recent
7,1,174.37,5,1,1,511,Recent
216,1,141.85999999999999,1,1,1,111,Lost
82,3,1799.33,2,3,4,234,Others
84,2,777.53,2,2,3,223,Others
144,3,1749.02,2,3,4,234,Others
19,2,240.22,4,2,1,421,Others
41,2,874.71,3,2,3,323,Others
173,1,192.85,2,1,1,211,Others
17,2,373.75,4,2,2,422,Others
243,1,239.49,1,1,1,111,Lost
13,12,2092.32,5,5,5,555,Champions
206,1,1384.25,1,1,4,114,Others
50,2,294.4,3,2,2,322,Others
23,5,732.0699999999999,4,4,3,443,Others
10,18,6717.34,5,5,5,555,Champions
25,4,1687.6000000000001,4,4,4,444,Others
15,2,467.04,4,2,2,422,Others
309,1,118.0,1,1,1,111,Lost
156,1,781.03,2,1,3,213,Others
307,1,142.4,1,1,1,111,Lost
64,1,712.4,3,1,3,313,Others
16,9,2478.95,4,5,5,455,Big Spenders
15,2,379.65,4,2,2,422,Others
11,6,1981.92,5,5,4,554,Loyal
65,3,1117.13,3,3,4,334,Others
36,4,247.95999999999998,3,4,1,341,Others
108,5,2037.0800000000002,2,4,4,244,Others
53,1,396.97,3,1,2,312,Others
6,2,697.04,5,2,3,523,Recent
47,1,180.17000000000002,3,1,1,311,Others
1,21,5153.67,5,5,5,555,Champions
312,1,219.52,1,1,1,111,Lost
45,2,693.32,3,2,3,323,Others
65,1,428.89,3,1,2,312,Others
26,1,164.34,4,1,1,411,Others
29,3,280.53999999999996,4,3,2,432,Others
40,1,678.01,3,1,3,313,Others
12,7,1131.88,5,5,4,554,Loyal
89,3,1171.8,2,3,4,234,Others
24,4,1610.46,4,4,4,444,Others
319,1,417.69,1,1,2,112,Others
40,3,544.18,3,3,3,333,Others
174,1,177.34,2,1,1,211,Others
117,1,213.85,2,1,1,211,Others
31,5,747.78,4,4,3,443,Others
253,1,257.23,1,1,2,112,Others
59,5,1638.47,3,4,4,344,Others
23,11,7792.36,4,5,5,455,Big Spenders
5,7,2031.78,5,5,4,554,Loyal
100,11,3070.42,2,5,5,255,Big Spenders
25,5,2121.27,4,4,5,445,Others
33,5,1575.16,4,4,4,444,Others
68,1,1071.03,3,1,4,314,Others
37,5,949.12,3,4,4,344,Others
52,3,810.5,3,3,3,333,Others
16,1,122.64,4,1,1,411,Others
74,1,1033.34,2,1,4,214,Others
216,1,354.8,1,1,2,112,Others
31,3,519.44,4,3,3,433,Others
16,4,2624.26,4,4,5,445,Others
120,1,252.1,2,1,2,212,Others
10,4,1678.1200000000001,5,4,4,544,Recent
257,2,346.6,1,2,2,122,Others
17,6,1836.34,4,5,4,454,Others
35,2,94.2,3,2,1,321,Others
46,3,1095.08,3,3,4,334,Others
43,6,2707.33,3,5,5,355,Big Spenders
114,2,932.97,2,2,3,223,Others
165,2,379.65,2,2,2,222,Others
11,2,382.14,5,2,2,522,Recent
10,5,2639.17,5,4,5,545,Recent
206,2,1573.2,1,2,4,124,Others
86,3,897.76,2,3,3,233,Others
179,1,189.47,2,1,1,211,Others
60,3,84.65,3,3,1,331,Others
149,1,305.02,2,1,2,212,Others
3,21,6363.59,5,5,5,555,Champions
51,2,218.55,3,2,1,321,Others
75,1,349.7,2,1,2,212,Others
301,2,186.39000000000001,1,2,1,121,Others
19,2,396.92,4,2,2,422,Others
151,2,486.82000000000005,2,2,2,222,Others
152,1,232.6,2,1,1,211,Others
1,4,3722.42,5,4,5,545,Recent
18,4,827.83,4,4,3,443,Others
187,1,59.5,1,1,1,111,Lost
286,1,67.23,1,1,1,111,Lost
3,7,3119.44,5,5,5,555,Champions
183,1,72.0,1,1,1,111,Lost
63,1,910.0,3,1,3,313,Others
59,1,172.25,3,1,1,311,Others
25,3,1488.32,4,3,4,434,Others
4,50,65039.62,5,5,5,555,Champions
31,15,2504.13,4,5,5,455,Big Spenders
39,1,151.29999999999998,3,1,1,311,Others
155,1,308.58000000000004,2,1,2,212,Others
26,10,2265.12,4,5,5,455,Big Spenders
318,1,99.5,1,1,1,111,Lost
5,9,2308.06,5,5,5,555,Champions
8,3,711.86,5,3,3,533,Recent
303,1,330.79,1,1,2,112,Others
267,2,806.41,1,2,3,123,Others
271,1,296.88,1,1,2,112,Others
4,13,6328.05,5,5,5,555,Champions
32,1,180.48,4,1,1,411,Others
219,2,252.06,1,2,2,122,Others
247,1,228.84,1,1,1,111,Lost
281,5,1079.34,1,4,4,144,Others
269,1,138.28,1,1,1,111,Lost
32,6,1445.01,4,5,4,454,Others
246,2,306.55,1,2,2,122,Others
15,5,1041.68,4,4,4,444,Others
117,4,799.9,2,4,3,243,Others
36,1,524.14,3,1,3,313,Others
132,3,2375.41,2,3,5,235,Others
217,1,199.85000000000002,1,1,1,111,Lost
50,8,1980.56,3,5,4,354,Others
39,2,1079.6599999999999,3,2,4,324,Others
29,2,333.48,4,2,2,422,Others
37,6,1016.14,3,5,4,354,Others
136,2,752.6,2,2,3,223,Others
219,2,610.59,1,2,3,123,Others
28,1,491.86,4,1,3,413,Others
25,4,2885.2400000000002,4,4,5,445,Others
5,2,731.9,5,2,3,523,Recent
200,1,339.59999999999997,1,1,2,112,Others
18,1,216.9,4,1,1,411,Others
241,1,350.75,1,1,2,112,Others
72,3,668.4300000000001,3,3,3,333,Others
17,12,3131.02,4,5,5,455,Big Spenders
3,7,1341.6,5,5,4,554,Loyal
95,2,1156.36,2,2,4,224,Others
162,1,300.04,2,1,2,212,Others
374,1,79.6,1,1,1,111,Lost
96,5,948.25,2,4,4,244,Others
54,5,1647.26,3,4,4,344,Others
288,1,296.25,1,1,2,112,Others
124,6,1186.28,2,5,4,254,Others
288,1,741.26,1,1,3,113,Others
152,2,282.59999999999997,2,2,2,222,Others
4,9,2161.35,5,5,5,555,Champions
2,14,5189.52,5,5,5,555,Champions
12,7,3190.55,5,5,5,555,Champions
33,2,659.4100000000001,4,2,3,423,Others
54,2,286.79,3,2,2,322,Others
50,2,1070.65,3,2,4,324,Others
219,1,306.72,1,1,2,112,Others
63,1,1714.96,3,1,4,314,Others
71,3,1521.76,3,3,4,334,Others
2,37,17220.36,5,5,5,555,Champions
2,10,2796.51,5,5,5,555,Champions
64,4,2634.45,3,4,5,345,Others
34,3,1132.13,3,3,4,334,Others
82,1,345.0,2,1,2,212,Others
1,33,25977.16,5,5,5,555,Champions
103,1,178.7,2,1,1,211,Others
7,2,360.01,5,2,2,522,Recent
251,1,127.84,1,1,1,111,Lost
13,6,912.0,5,5,3,553,Loyal
10,11,2462.79,5,5,5,555,Champions
367,1,230.39999999999998,1,1,1,111,Lost
76,2,309.04,2,2,2,222,Others
4,1,348.8,5,1,2,512,Recent
128,2,1516.0,2,2,4,224,Others
66,2,195.55,3,2,1,321,Others
1,57,37153.85,5,5,5,555,Champions
117,2,688.86,2,2,3,223,Others
310,1,558.32,1,1,3,113,Others
67,1,324.8,3,1,2,312,Others
139,3,4599.42,2,3,5,235,Others
255,1,277.07,1,1,2,112,Others
31,7,2635.79,4,5,5,455,Big Spenders
52,2,924.6,3,2,3,323,Others
64,1,256.38,3,1,2,312,Others
367,1,112.6,1,1,1,111,Lost
6,5,1747.66,5,4,4,544,Recent
305,1,155.05,1,1,1,111,Lost
29,3,1499.01,4,3,4,434,Others
184,3,814.5,1,3,3,133,Others
42,3,539.0,3,3,3,333,Others
40,4,1366.8600000000001,3,4,4,344,Others
92,2,1579.12,2,2,4,224,Others
22,4,4027.36,4,4,5,445,Others
24,2,571.6700000000001,4,2,3,423,Others
29,2,382.98,4,2,2,422,Others
302,3,1140.35,1,3,4,134,Others
145,2,385.64,2,2,2,222,Others
6,2,632.0,5,2,3,523,Recent
19,2,957.66,4,2,4,424,Others
33,5,1698.94,4,4,4,444,Others
176,1,189.5,2,1,1,211,Others
58,3,412.05,3,3,2,332,Others
22,1,209.49,4,1,1,411,Others
16,6,2202.99,4,5,5,455,Big Spenders
19,1,52.199999999999996,4,1,1,411,Others
159,1,384.8,2,1,2,212,Others
25,4,834.57,4,4,3,443,Others
212,2,271.24,1,2,2,122,Others
6,4,691.73,5,4,3,543,Recent
253,1,85.0,1,1,1,111,Lost
59,9,3385.62,3,5,5,355,Big Spenders
11,1,361.62,5,1,2,512,Recent
65,1,312.98,3,1,2,312,Others
25,3,865.0600000000001,4,3,3,433,Others
92,3,1255.0,2,3,4,234,Others
52,2,1537.95,3,2,4,324,Others
129,1,1595.48,2,1,4,214,Others
96,3,2651.46,2,3,5,235,Others
57,1,1090.14,3,1,4,314,Others
9,25,8109.5199999999995,5,5,5,555,Champions
169,3,388.5,2,3,2,232,Others
57,1,216.17,3,1,1,311,Others
326,1,201.16,1,1,1,111,Lost
1,5,1245.9,5,4,4,544,Recent
18,8,2209.36,4,5,5,455,Big Spenders
248,1,305.78,1,1,2,112,Others
58,4,501.56,3,4,3,343,Others
74,1,145.67000000000002,2,1,1,211,Others
31,3,1015.29,4,3,4,434,Others
7,2,3192.54,5,2,5,525,Recent
123,4,3104.95,2,4,5,245,Others
2,8,2770.94,5,5,5,555,Champions
23,13,6403.25,4,5,5,455,Big Spenders
120,3,389.6,2,3,2,232,Others
358,1,540.45,1,1,3,113,Others
54,5,1786.79,3,4,4,344,Others
64,1,122.7,3,1,1,311,Others
86,1,117.24,2,1,1,211,Others
55,1,1281.53,3,1,4,314,Others
21,13,3219.77,4,5,5,455,Big Spenders
4,20,17159.52,5,5,5,555,Champions
3,5,1191.13,5,4,4,544,Recent
11,5,2674.48,5,4,5,545,Recent
7,5,787.6,5,4,3,543,Recent
189,2,506.8,1,2,3,123,Others
71,1,243.56,3,1,1,311,Others
204,1,349.55,1,1,2,112,Others
120,2,605.63,2,2,3,223,Others
93,1,416.90000000000003,2,1,2,212,Others
1,10,1883.8100000000002,5,5,4,554,Loyal
27,4,632.97,4,4,3,443,Others
298,1,821.1,1,1,3,113,Others
24,3,564.62,4,3,3,433,Others
28,4,2593.07,4,4,5,445,Others
50,1,311.16,3,1,2,312,Others
326,1,155.93,1,1,1,111,Lost
16,2,388.52,4,2,2,422,Others
183,3,740.95,1,3,3,133,Others
72,5,2867.2,3,4,5,345,Others
37,2,332.64,3,2,2,322,Others
80,4,2369.55,2,4,5,245,Others
57,9,2580.91,3,5,5,355,Big Spenders
12,2,626.45,5,2,3,523,Recent
50,2,272.04,3,2,2,322,Others
50,2,1212.8400000000001,3,2,4,324,Others
59,2,384.81,3,2,2,322,Others
352,1,172.25,1,1,1,111,Lost
54,1,351.13,3,1,2,312,Others
2,6,1838.8500000000001,5,5,4,554,Loyal
93,4,678.25,2,4,3,243,Others
23,1,223.85000000000002,4,1,1,411,Others
75,1,348.99,2,1,2,212,Others
11,4,464.57,5,4,2,542,Recent
169,2,842.65,2,2,3,223,Others
58,2,337.34,3,2,2,322,Others
96,2,1237.53,2,2,4,224,Others
295,1,307.4,1,1,2,112,Others
109,2,608.7900000000001,2,2,3,223,Others
264,1,922.1,1,1,3,113,Others
180,1,376.58,1,1,2,112,Others
169,1,158.85,2,1,1,211,Others
35,1,71.66,3,1,1,311,Others
23,3,568.55,4,3,3,433,Others
17,4,839.14,4,4,3,443,Others
22,5,5112.96,4,4,5,445,Others
79,3,561.5699999999999,2,3,3,233,Others
65,1,90.6,3,1,1,311,Others
361,1,102.0,1,1,1,111,Lost
3,6,2427.32,5,5,5,555,Champions
11,4,745.06,5,4,3,543,Recent
176,3,674.45,2,3,3,233,Others
218,2,3251.071,1,2,5,125,Others
7,7,3515.68,5,5,5,555,Champions
2,2,439.92,5,3,2,532,Recent
154,2,322.96,2,3,2,232,Others
5,5,1026.42,5,4,4,544,Recent
79,3,598.2,2,3,3,233,Others
21,2,230.22,4,3,1,431,Others
22,2,169.55,4,3,1,431,Others
308,4,664.54,1,4,3,143,Others
146,1,80.7,2,1,1,211,Others
7,18,9053.94,5,5,5,555,Champions
19,8,2758.26,4,5,5,455,Big Spenders
71,2,190.25,3,3,1,331,Others
287,1,264.7,1,1,2,112,Others
49,1,413.59000000000003,3,1,2,312,Others
31,6,2526.28,4,5,5,455,Big Spenders
207,1,357.98,1,1,2,112,Others
15,2,196.79000000000002,4,3,1,431,Others
73,1,869.87,2,1,3,213,Others
60,1,200.14,3,1,1,311,Others
39,4,1871.81,3,4,4,344,Others
30,12,2603.43,4,5,5,455,Big Spenders
27,5,920.51,4,4,3,443,Others
4,15,7060.13,5,5,5,555,Champions
17,1,320.46,4,1,2,412,Others
20,6,4147.96,4,5,5,455,Big Spenders
66,2,1266.08,3,3,4,334,Others
213,1,311.3,1,1,2,112,Others
12,6,855.97,5,5,3,553,Loyal
30,1,76.8,4,1,1,411,Others
43,9,3466.36,3,5,5,355,Big Spenders
4,6,2313.14,5,5,5,555,Champions
15,5,1393.69,4,4,4,444,Others
10,12,3901.81,5,5,5,555,Champions
211,1,635.66,1,1,3,113,Others
46,3,2043.0800000000002,3,3,4,334,Others
134,2,529.73,2,3,3,233,Others
43,7,4582.64,3,5,5,355,Big Spenders
10,5,2874.72,5,4,5,545,Recent
116,3,962.19,2,3,4,234,Others
198,2,695.61,1,3,3,133,Others
278,1,328.8,1,1,2,112,Others
110,3,473.02,2,3,2,232,Others
77,1,505.18,2,1,3,213,Others
53,1,917.34,3,1,3,313,Others
162,4,4341.21,2,4,5,245,Others
47,3,1421.61,3,3,4,334,Others
17,2,642.8,4,3,3,433,Others
155,3,631.9,2,3,3,233,Others
225,1,440.0,1,1,2,112,Others
7,2,584.07,5,3,3,533,Recent
122,2,327.7,2,3,2,232,Others
61,1,104.82,3,1,1,311,Others
63,2,467.66,3,3,2,332,Others
18,8,2360.09,4,5,5,455,Big Spenders
7,19,17286.86,5,5,5,555,Champions
2,11,2975.59,5,5,5,555,Champions
22,3,651.8199999999999,4,3,3,433,Others
29,5,1428.02,4,4,4,444,Others
285,1,626.65,1,1,3,113,Others
176,2,147.20000000000002,2,3,1,231,Others
78,3,1560.38,2,3,4,234,Others
33,1,152.2,4,1,1,411,Others
41,12,3614.92,3,5,5,355,Big Spenders
266,1,141.41,1,1,1,111,Lost
27,4,652.82,4,4,3,443,Others
109,4,1659.75,2,4,4,244,Others
284,1,154.99,1,1,1,111,Lost
9,5,1308.6100000000001,5,4,4,544,Recent
305,1,409.93,1,1,2,112,Others
17,4,5681.72,4,4,5,445,Others
32,2,746.36,4,3,3,433,Others
1,23,15610.390000000001,5,5,5,555,Champions
20,1,225.36,4,1,1,411,Others
124,2,260.25,2,3,2,232,Others
65,1,92.46,3,1,1,311,Others
106,1,725.6400000000001,2,1,3,213,Others
1,23,8214.65,5,5,5,555,Champions
24,17,6217.96,4,5,5,455,Big Spenders
267,1,183.6,1,1,1,111,Lost
5,19,6140.42,5,5,5,555,Champions
10,12,10464.85,5,5,5,555,Champions
29,5,1353.74,4,4,4,444,Others
267,1,152.55,1,1,1,111,Lost
64,2,374.7,3,3,2,332,Others
320,1,265.85,1,1,2,112,Others
4,8,1438.82,5,5,4,554,Loyal
32,1,151.04,4,1,1,411,Others
5,3,942.26,5,3,3,533,Recent
129,1,122.47,2,1,1,211,Others
41,5,499.41999999999996,3,4,3,343,Others
102,6,1049.37,2,5,4,254,Others
125,1,375.1,2,1,2,212,Others
33,1,45.599999999999994,4,1,1,411,Others
302,2,934.52,1,3,3,133,Others
365,1,182.25,1,1,1,111,Lost
4,9,1018.43,5,5,4,554,Loyal
2,18,4448.54,5,5,5,555,Champions
3,1,194.42,5,1,1,511,Recent
10,13,50491.81,5,5,5,555,Champions
57,1,161.0,3,1,1,311,Others
325,1,76.32000000000001,1,1,1,111,Lost
8,14,4076.91,5,5,5,555,Champions
12,1,442.85,5,1,2,512,Recent
4,17,65164.79,5,5,5,555,Champions
37,1,147.35,3,1,1,311,Others
16,11,3104.17,4,5,5,455,Big Spenders
138,1,194.9,2,1,1,211,Others
74,6,5976.79,2,5,5,255,Big Spenders
5,5,1360.28,5,4,4,544,Recent
155,2,216.20999999999998,2,3,1,231,Others
239,1,1266.23,1,1,4,114,Others
52,7,2703.23,3,5,5,355,Big Spenders
31,2,597.91,4,3,3,433,Others
73,1,144.2,2,1,1,211,Others
4,12,5683.15,5,5,5,555,Champions
14,4,692.85,4,4,3,443,Others
23,7,2915.15,4,5,5,455,Big Spenders
4,4,1840.42,5,4,4,544,Recent
274,2,386.53,1,3,2,132,Others
20,5,1382.74,4,4,4,444,Others
144,1,90.0,2,1,1,211,Others
4,4,2780.15,5,4,5,545,Recent
84,1,419.58000000000004,2,1,2,212,Others
11,3,2740.43,5,3,5,535,Recent
8,3,706.1300000000001,5,3,3,533,Recent
123,3,709.71,2,3,3,233,Others
61,2,637.5,3,3,3,333,Others
2,5,1123.8600000000001,5,4,4,544,Recent
319,1,483.86,1,1,2,112,Others
2,11,3586.0299999999997,5,5,5,555,Champions
130,3,605.64,2,3,3,233,Others
2,15,4690.31,5,5,5,555,Champions
2,2,982.3800000000001,5,3,4,534,Recent
46,1,415.82,3,1,2,312,Others
4,2,935.05,5,3,3,533,Recent
3,4,915.13,5,4,3,543,Recent
373,1,311.81,1,1,2,112,Others
134,1,115.8,2,1,1,211,Others
47,4,3742.2,3,4,5,345,Others
9,5,4191.0,5,4,5,545,Recent
78,2,483.4,2,3,2,232,Others
234,1,157.2,1,1,1,111,Lost
221,1,446.62,1,1,2,112,Others
36,2,658.64,3,3,3,333,Others
75,2,621.29,2,3,3,233,Others
239,2,1345.62,1,3,4,134,Others
266,1,118.75,1,1,1,111,Lost
10,55,117379.63,5,5,5,555,Champions
20,2,432.88,4,3,2,432,Others
40,1,507.66,3,1,3,313,Others
20,11,4693.01,4,5,5,455,Big Spenders
216,3,1110.52,1,3,4,134,Others
174,2,289.36,2,3,2,232,Others
87,4,2445.91,2,4,5,245,Others
71,2,1631.77,3,3,4,334,Others
276,1,122.53999999999999,1,1,1,111,Lost
39,4,574.84,3,4,3,343,Others
98,1,363.79,2,1,2,212,Others
11,4,450.84,5,4,2,542,Recent
33,1,134.46,4,1,1,411,Others
60,3,3222.3,3,3,5,335,Others
297,4,576.9000000000001,1,4,3,143,Others
86,4,559.41,2,4,3,243,Others
9,7,1620.93,5,5,4,554,Loyal
41,2,719.78,3,3,3,333,Others
11,25,4748.52,5,5,5,555,Champions
67,1,452.89,3,1,2,312,Others
331,1,197.65,1,1,1,111,Lost
31,6,2054.36,4,5,4,454,Others
2,15,4654.08,5,5,5,555,Champions
2,13,4684.76,5,5,5,555,Champions
68,2,853.39,3,3,3,333,Others
5,21,11349.52,5,5,5,555,Champions
202,2,1012.0,1,3,4,134,Others
107,1,335.52,2,1,2,212,Others
18,4,701.4,4,4,3,443,Others
