Description,Quantity,Revenue,Orders
BLUE NEW BAROQUE CANDLESTICK CANDLE,439,478.15,28
BLUE NEW BAROQUE FLOCK CANDLESTICK,1,4.65,1
BLUE ORGANDY ROUND LAMPSHADE W BEA,12,10.2,4
BLUE OWL SOFT TOY,489,1423.3500000000001,98
BLUE PADDED SOFT MOBILE,1,4.25,1
BLUE PAINTED KASHMIRI CHAIR,3,149.85000000000002,1
BLUE PAISLEY JOURNAL ,217,541.9699999999999,58
BLUE PAISLEY NOTEBOOK,56,92.39999999999999,23
BLUE PAISLEY POCKET BOOK,292,248.2,50
BLUE PAISLEY SKETCHBOOK,110,419.92,52
BLUE PAISLEY TISSUE BOX,668,312.34000000000003,88
BLUE PAPER PARASOL ,307,865.6500000000001,48
BLUE PARTY BAGS ,1451,2728.94,108
BLUE PATCH PURSE PINK HEART,166,256.09999999999997,17
BLUE POLKADOT BEAKER ,2812,1096.6799999999998,78
BLUE POLKADOT BOWL,2729,3179.9,223
BLUE POLKADOT COFFEE MUG,2047,830.8199999999999,62
BLUE POLKADOT CUP,3156,2487.08,215
BLUE POLKADOT EGG CUP ,1016,445.26,44
BLUE POLKADOT GARDEN PARASOL,148,1104.6,51
BLUE POLKADOT KIDS BAG,228,456.35999999999996,29
BLUE POLKADOT LUGGAGE TAG ,150,194.76,33
BLUE POLKADOT PASSPORT COVER,231,233.34,35
BLUE POLKADOT PLATE ,2131,3359.47,147
BLUE POLKADOT PUDDING BOWL,29,38.67,7
BLUE POLKADOT PURSE ,9,35.07,5
BLUE POLKADOT WASHING UP GLOVES,367,770.7,115
BLUE POLKADOT WRAP,6925,2808.5,215
BLUE POT PLANT CANDLE ,263,794.45,37
BLUE PUDDING SPOON,1010,132.29999999999998,58
BLUE REFECTORY CLOCK ,162,1557.8999999999999,70
BLUE RETRO KITCHEN WALL CLOCK,35,285.25,17
BLUE ROSE FABRIC MIRROR,409,488.59,37
BLUE ROSE PATCH PURSE PINK BUTTERFL,32,52.8,8
BLUE ROUND COMPACT MIRROR,88,122.5,11
BLUE SAVANNAH PICNIC HAMPER FOR 2,69,793.3499999999999,17
BLUE SCANDINAVIAN PAISLEY WRAP,1000,420.0,39
BLUE SCOTTIE DOG W FLOWER PATTERN,134,341.7,25
BLUE SHARK HELICOPTER,2,15.9,2
BLUE SPOT CERAMIC DRAWER KNOB,4004,5028.5199999999995,289
BLUE SQUARE COMPACT MIRROR,51,63.75,8
BLUE STONES ON WIRE FOR CANDLE,404,33.75,17
BLUE STRIPE CERAMIC DRAWER KNOB,4969,6284.25,351
BLUE STRIPES SHOULDER BAG,9,7.469999999999999,3
BLUE SWEETHEART BRACELET,20,85.0,6
BLUE TABLE RUN FLOWER,45,56.25,11
BLUE TEA TOWEL CLASSIC DESIGN,448,523.52,48
BLUE TEATIME PRINT BOWL ,10,12.5,2
BLUE TILED TRAY,8,54.0,4
BLUE TRAVEL FIRST AID KIT,34,56.1,7
BLUE TV TRAY TABLE ,76,175.8,13
BLUE VICTORIAN FABRIC OVAL BOX,811,293.82,34
BLUE VINTAGE SPOT BEAKER,4901,4528.29,164
BLUE WHITE PLASTIC RINGS LAMPSHADE,14,11.899999999999999,5
BLUE WIRE SPIRAL CANDLE HOLDER,11,69.85,5
BLUE/CREAM STRIPE CUSHION COVER ,622,769.9,98
BLUE/GREEN SHELL NECKLACE W PENDANT,1,5.95,1
BLUE/NAT SHELL NECKLACE W PENDANT,1,5.95,1
BLUE/YELLOW CERAMIC CANDLE HOLDER,4,6.6,1
BLUE/YELLOW FLOWER DESIGN BIG MUG,31,16.77,12
BOHEMIAN COLLAGE STATIONERY SET,471,675.53,102
BOOM BOX SPEAKER BOYS,176,760.5,54
BOOM BOX SPEAKER GIRLS,487,839.05,40
BOOZE & WOMEN GREETING CARD ,457,187.62,33
BOTANICAL GARDENS WALL CLOCK ,259,5719.0,80
BOTANICAL LAVENDER BIRTHDAY CARD,363,158.61,32
BOTANICAL LAVENDER GIFT WRAP ,475,199.5,19
BOTANICAL LILY GIFT WRAP,250,105.0,7
BOTANICAL LILY GREETING CARD,361,151.62,31
BOTANICAL ROSE GIFT WRAP,725,304.5,28
BOTANICAL ROSE GREETING CARD,336,141.12,21
BOTTLE BAG RETROSPOT ,1038,1510.89,105
BOUDOIR SQUARE TISSUE BOX,1957,911.72,143
BOX OF 24 COCKTAIL PARASOLS,6808,2810.67,364
BOX OF 6 ASSORTED COLOUR TEASPOONS,295,1267.99,73
BOX OF 6 CHRISTMAS CAKE DECORATIONS,1712,6155.04,163
BOX OF 6 MINI 50'S CRACKERS,3539,8216.79,365
BOX OF 6 MINI VINTAGE CRACKERS,3647,8350.41,329
BOX OF 9 PEBBLE CANDLES,453,853.35,77
BOX OF VINTAGE ALPHABET BLOCKS,1295,13035.66,231
BOX OF VINTAGE JIGSAW BLOCKS ,920,5031.570000000001,219
BOX/12 CHICK & EGG IN BASKET,122,222.29999999999998,40
BOYS ALPHABET IRON ON PATCHES,1248,262.08,5
BOYS VINTAGE TIN SEASIDE BUCKET,1206,2921.72,137
BREAD BIN DINER STYLE IVORY,847,13131.89,341
BREAD BIN DINER STYLE MINT,304,4646.5599999999995,118
BREAD BIN DINER STYLE PINK,302,4598.349999999999,111
BREAD BIN DINER STYLE RED ,626,9597.31,249
"BREAD BIN, DINER STYLE, IVORY",4,59.8,1
"BREAD BIN, DINER STYLE, MINT",4,59.8,1
BRIGHT BLUES RIBBONS ,539,673.75,102
BROCADE RING PURSE ,22963,5980.05,206
BROCANTE COAT RACK,205,1734.05,46
BROCANTE SHELF WITH HOOKS,155,1645.45,69
BROWN  PIRATE TREASURE CHEST ,220,240.77999999999997,37
BROWN CHECK CAT DOORSTOP ,233,965.0,94
BROWN KUKUI COCONUT SEED NECKLACE,74,74.0,8
BUBBLEGUM RING ASSORTED,11891,4894.83,213
BUFFALO BILL TREASURE BOOK BOX,1855,3768.57,137
BUFFALO BILL WALL ART ,246,845.22,15
BULL DOG BOTTLE OPENER,778,3749.5,197
BULL DOG BOTTLE TOP WALL CLOCK,185,1484.25,69
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3286,5225.219999999999,312
BUNDLE OF 3 RETRO EXERCISE BOOKS,60,98.99999999999999,5
BUNDLE OF 3 RETRO NOTE BOOKS,2116,3421.3999999999996,240
BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1678,2691.14,179
BUNNY DECORATION MAGIC GARDEN,485,408.09,56
BUNNY EGG BOX,183,228.75,26
BUNNY EGG GARLAND,413,173.46,33
BUNNY WOODEN PAINTED WITH BIRD ,852,598.16,93
BUNNY WOODEN PAINTED WITH FLOWER ,495,334.27,62
"BUNTING , SPOTTY ",146,634.7,7
BUTTERFLIES STICKERS,525,447.80999999999995,51
BUTTERFLY CROCHET FOOD COVER,123,468.67,50
BUTTERFLY CUSHION COVER,8,30.0,2
BUTTERFLY HAIR BAND,16,40.8,4
BUTTON BOX ,1072,2022.66,118
BUTTONS AND STRIPES NOTEBOOK ,13,48.75,7
Bank Charges,12,165.001,11
CABIN BAG VINTAGE PAISLEY,64,1279.2,16
CABIN BAG VINTAGE RETROSPOT,160,3012.4,39
CACTI T-LIGHT CANDLES,5217,2078.66,130
CAKE PLATE LOVEBIRD PINK,315,902.85,42
CAKE PLATE LOVEBIRD WHITE,824,2599.2,149
CAKE SHOP  STICKER SHEET,57,48.449999999999996,8
CAKE STAND 3 TIER MAGIC GARDEN,308,3624.5999999999995,88
CAKE STAND LACE WHITE,1,4.25,1
CAKE STAND LOVEBIRD 2 TIER PINK,124,964.4,44
CAKE STAND LOVEBIRD 2 TIER WHITE,214,1499.5,74
CAKE STAND VICTORIAN FILIGREE LARGE,8,68.0,4
CAKE STAND VICTORIAN FILIGREE MED,74,466.95000000000005,17
CAKE STAND VICTORIAN FILIGREE SMALL,206,723.7,36
CAKE STAND WHITE TWO TIER LACE,330,2254.5,89
CAKES AND BOWS GIFT  TAPE,1017,318.81,44
CAKES AND RABBITS DESIGN FLANNEL ,57,48.449999999999996,10
"CAKESTAND, 3 TIER, LOVEHEART",2,19.9,1
CALENDAR FAMILY FAVOURITES,153,427.43,32
CALENDAR IN SEASON DESIGN,478,1225.49,67
CALENDAR PAPER CUT DESIGN,1768,5072.64,234
CAMOUFLAGE DESIGN TEDDY,1630,3445.5000000000005,35
CAMOUFLAGE EAR MUFF HEADPHONES,40,221.35999999999999,17
CAMOUFLAGE LED TORCH,2628,4278.12,120
CAMPHOR WOOD PORTOBELLO MUSHROOM,147,163.11,23
CANDLE HOLDER SILVER MADELINE,193,315.28999999999996,18
CANDLE PLATE LACE WHITE,114,246.7,21
CANDLEHOLDER PINK HANGING HEART,2046,5771.780000000001,343
CANDY HEART HANGING DECORATION,1265,631.71,41
CANDY SHOP  STICKER SHEET,175,148.75,20
CANDY SPOT BUNNY,14,41.300000000000004,5
CANDY SPOT CUSHION COVER,40,119.36000000000001,7
CANDY SPOT EGG WARMER HARE,451,227.49,20
CANDY SPOT EGG WARMER RABBIT,502,122.94000000000001,30
CANDY SPOT HAND BAG,188,385.27000000000004,20
CANDY SPOT HEART DECORATION,45,38.25,8
CANDY SPOT TEA COSY,27,40.05,2
CANNABIS LEAF BEAD CURTAIN,36,30.599999999999998,2
CANNISTER VINTAGE LEAF DESIGN,12,23.4,2
CAPIZ CHANDELIER,1,29.95,1
CARAVAN SQUARE TISSUE BOX,1405,707.63,122
CARD BILLBOARD FONT,5038,2072.79,332
CARD BIRTHDAY COWBOY,3367,1324.8899999999999,155
CARD CAT AND TREE ,1560,646.56,104
CARD CHRISTMAS VILLAGE,3162,1319.4,162
CARD CIRCUS PARADE,3088,1272.27,214
CARD DOG AND BALL ,1170,487.08,87
CARD DOLLY GIRL ,4319,1721.37,213
CARD GINGHAM ROSE ,2678,1073.74,140
CARD HOLDER GINGHAM HEART,605,1732.4099999999999,135
CARD HOLDER LOVE BIRD LARGE ,220,1323.4,75
CARD HOLDER LOVE BIRD SMALL,320,1255.7600000000002,63
CARD I LOVE LONDON ,3309,1312.12,149
CARD MOTORBIKE SANTA,3438,1420.2,176
CARD PARTY GAMES ,1581,633.78,95
CARD PSYCHEDELIC APPLES,1810,747.24,113
CARD SUKI BIRTHDAY,1858,763.08,126
CARD WEDDING DAY,1506,615.24,98
CARDHOLDER GINGHAM CHRISTMAS TREE,374,1250.84,63
CARDHOLDER GINGHAM STAR,323,940.49,57
CARDHOLDER HOLLY WREATH METAL,506,1886.08,91
CARNIVAL BRACELET,20,255.0,6
CAROUSEL DESIGN WASHBAG,52,101.39999999999999,26
CAROUSEL PONIES BABY BIB,33,14.37,12
CARRIAGE,134,6686.0,133
CARROT CHARLIE+LOLA COASTER SET,426,547.24,91
CARTOON  PENCIL SHARPENERS,3760,253.2,50
CAST IRON HOOK GARDEN FORK,513,1371.4299999999998,14
CAST IRON HOOK GARDEN TROWEL,375,962.73,15
CAT AND BIRD WALL ART,270,323.64,4
CAT BOWL VINTAGE CREAM,431,1396.95,101
CAT WITH SUNGLASSES BLANK CARD,5,0.95,1
CD WALL TIDY BLUE OFFICE,96,34.56,2
CD WALL TIDY RED FLOWERS,160,58.56,5
CERAMIC BIRDHOUSE CRESTED TIT SMALL,72,212.40000000000003,16
CERAMIC BOWL WITH LOVE HEART DESIGN,559,603.89,52
CERAMIC BOWL WITH STRAWBERRY DESIGN,544,1127.2,81
CERAMIC CAKE BOWL + HANGING CAKES,668,1841.0,98
CERAMIC CAKE DESIGN SPOTTED MUG,1404,2043.0,154
CERAMIC CAKE DESIGN SPOTTED PLATE,757,1104.8899999999999,76
CERAMIC CAKE STAND + HANGING CAKES,562,5084.78,152
CERAMIC CHERRY CAKE MONEY BANK,2052,2328.7799999999997,188
CERAMIC HEART FAIRY CAKE MONEY BANK,1757,2255.93,233
CERAMIC LOVE HEART MONEY BANK,721,429.84999999999997,36
CERAMIC PIRATE CHEST MONEY BANK,800,1136.0,106
CERAMIC PLATE STRAWBERRY DESIGN,578,648.18,56
CERAMIC STRAWBERRY CAKE MONEY BANK,3927,4756.91,279
CERAMIC STRAWBERRY DESIGN MUG,1749,1973.1699999999998,142
CERAMIC STRAWBERRY MONEY BOX,804,1859.3999999999999,47
CERAMIC STRAWBERRY TRINKET TRAY,55,140.25,12
CHALKBOARD KITCHEN ORGANISER,6,137.7,3
CHAMBRE HOOK,123,155.06999999999996,18
CHAMPAGNE TRAY BLANK CARD,8,1.52,2
CHARLIE & LOLA WASTEPAPER BIN BLUE,657,805.75,81
CHARLIE & LOLA WASTEPAPER BIN FLORA,977,1228.25,106
CHARLIE + LOLA BISCUITS TINS,455,967.25,51
CHARLIE + LOLA RED HOT WATER BOTTLE,654,1342.0000000000002,130
CHARLIE AND LOLA CHARLOTTE BAG,43,70.95,8
CHARLIE AND LOLA FIGURES TINS,1404,2817.7999999999997,126
CHARLIE AND LOLA TABLE TINS,513,1048.35,60
CHARLIE LOLA BLUE HOT WATER BOTTLE ,94,342.74,37
CHARLIE+LOLA MY ROOM DOOR SIGN,362,205.98,64
CHARLIE+LOLA PINK HOT WATER BOTTLE,449,1112.91,105
CHARLIE+LOLA RED HOT WATER BOTTLE ,174,499.78000000000003,49
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",607,313.78,72
CHARLOTTE BAG ALPHABET  DESIGN,400,320.5,22
CHARLOTTE BAG APPLES DESIGN,7039,5632.15,425
CHARLOTTE BAG DOLLY GIRL DESIGN,5085,4028.19,343
CHARLOTTE BAG PINK POLKADOT,7306,5840.64,487
CHARLOTTE BAG SUKI DESIGN,8975,7138.65,585
CHARLOTTE BAG VINTAGE ALPHABET ,4752,3786.22,323
CHERRY BLOSSOM  DECORATIVE FLASK,339,1253.97,94
CHERRY BLOSSOM CANVAS ART PICTURE,41,97.95,6
CHERRY BLOSSOM DECORATIVE FLASK,182,678.18,57
CHERRY BLOSSOM LUGGAGE TAG,33,43.67,6
CHERRY BLOSSOM PASSPORT COVER,134,122.78,25
CHERRY BLOSSOM PURSE,1,2.95,1
CHERRY BLOSSOM TABLE CLOCK ,6,25.7,3
CHERRY CROCHET FOOD COVER,215,813.67,78
CHERUB HEART DECORATION GOLD,719,620.4499999999999,59
CHERUB HEART DECORATION SILVER ,1297,1090.4299999999998,69
CHEST 7 DRAWER MA CAMPAGNE,34,821.3,24
CHEST NATURAL WOOD 20 DRAWERS,24,2745.0,13
CHEST OF DRAWERS GINGHAM HEART ,146,2459.04,79
CHICK GREY HOT WATER BOTTLE,1555,5810.37,282
CHILDREN'S APRON DOLLY GIRL ,1982,3986.88,259
CHILDREN'S CIRCUS PARADE MUG,1192,1924.4799999999998,110
CHILDREN'S SPACEBOY MUG,1691,2751.1099999999997,178
CHILDRENS APRON APPLES DESIGN,2201,4120.85,277
CHILDRENS APRON SPACEBOY DESIGN,3543,6572.49,448
CHILDRENS CUTLERY CIRCUS PARADE,963,3856.59,143
CHILDRENS CUTLERY DOLLY GIRL ,1628,6554.6,268
CHILDRENS CUTLERY POLKADOT BLUE,2524,9831.4,211
CHILDRENS CUTLERY POLKADOT GREEN ,1688,6599.06,166
CHILDRENS CUTLERY POLKADOT PINK,3530,13796.6,323
CHILDRENS CUTLERY RETROSPOT RED ,2492,9603.68,229
CHILDRENS CUTLERY SPACEBOY ,1982,7974.38,316
CHILDRENS DOLLY GIRL MUG,1523,2457.99,157
CHILDRENS GARDEN GLOVES BLUE,592,721.0,65
CHILDRENS GARDEN GLOVES PINK,458,553.5,52
CHILDRENS SPACEBOY MUG,24,39.599999999999994,2
CHILDRENS TOY COOKING UTENSIL SET,680,1371.48,122
CHILDS BREAKFAST SET CIRCUS PARADE,565,4656.3,182
CHILDS BREAKFAST SET DOLLY GIRL ,657,6063.0,180
CHILDS BREAKFAST SET SPACEBOY ,731,6681.849999999999,203
CHILDS GARDEN BRUSH BLUE,333,663.3000000000001,57
CHILDS GARDEN BRUSH PINK,370,741.0000000000001,65
CHILDS GARDEN FORK BLUE ,923,759.59,120
CHILDS GARDEN FORK PINK,844,717.4,118
CHILDS GARDEN RAKE BLUE,171,350.1,41
CHILDS GARDEN RAKE PINK,186,381.6,54
CHILDS GARDEN SPADE BLUE,261,539.1,75
CHILDS GARDEN SPADE PINK,237,488.70000000000005,63
CHILDS GARDEN TROWEL BLUE ,705,599.25,105
CHILDS GARDEN TROWEL PINK,607,515.9499999999999,94
CHILLI LIGHTS,9650,46286.51,519
CHINESE DRAGON PAPER LANTERNS,5524,1870.7,75
CHOC TRUFFLE GOLD TRINKET POT ,389,569.13,48
CHOCOLATE 1 WICK MORRIS BOX CANDLE,360,581.58,42
CHOCOLATE 3 WICK MORRIS BOX CANDLE,558,820.5,43
CHOCOLATE BOX RIBBONS ,1580,1926.33,227
CHOCOLATE CALCULATOR,785,1306.7299999999998,115
CHOCOLATE HOT WATER BOTTLE,5160,23624.24,700
CHOCOLATE THIS WAY METAL SIGN,3635,7208.52,374
CHRISTMAS CARD SCREEN PRINT ,1188,283.32,43
CHRISTMAS CARD SINGING ANGEL,372,156.24,25
CHRISTMAS CARD STACK OF PRESENTS,816,196.44,36
CHRISTMAS CRAFT HEART STOCKING ,30,63.0,1
CHRISTMAS CRAFT LITTLE FRIENDS,3468,7128.1,421
CHRISTMAS CRAFT TREE TOP ANGEL,2448,5025.580000000001,348
CHRISTMAS CRAFT WHITE FAIRY ,3073,4339.29,321
CHRISTMAS DECOUPAGE CANDLE,1821,782.77,63
"CHRISTMAS GARLAND STARS,TREES",100,370.0,21
CHRISTMAS GINGHAM HEART,552,450.47999999999996,30
CHRISTMAS GINGHAM STAR,2049,1736.9699999999998,138
CHRISTMAS GINGHAM TREE,1744,1480.06,125
CHRISTMAS HANGING HEART WITH BELL,219,273.75,17
CHRISTMAS HANGING SNOWFLAKE,486,421.02000000000004,44
CHRISTMAS HANGING STAR WITH BELL,5305,2443.0699999999997,173
CHRISTMAS HANGING TREE WITH BELL,1859,995.3,85
CHRISTMAS LIGHTS 10 REINDEER,1572,12150.0,253
CHRISTMAS LIGHTS 10 SANTAS ,581,4108.75,131
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1280,5968.9800000000005,159
CHRISTMAS METAL POSTCARD WITH BELLS,2704,1125.94,57
CHRISTMAS METAL TAGS ASSORTED ,2863,2401.0299999999997,136
CHRISTMAS MUSICAL ZINC HEART ,35,29.75,5
CHRISTMAS MUSICAL ZINC STAR,1489,528.2099999999999,70
CHRISTMAS MUSICAL ZINC TREE,815,291.33,51
CHRISTMAS PUDDING TRINKET POT ,6440,2892.02,164
CHRISTMAS RETROSPOT ANGEL WOOD,2238,1827.4199999999998,150
CHRISTMAS RETROSPOT HEART WOOD,110,93.5,10
CHRISTMAS RETROSPOT STAR WOOD,1540,1303.54,143
CHRISTMAS RETROSPOT TREE WOOD,1295,1089.83,125
CHRISTMAS STAR WISH LIST CHALKBOARD,3290,3567.7,234
CHRISTMAS TABLE CANDLE SILVER SPIKE,16,13.28,1
CHRISTMAS TABLE SILVER CANDLE SPIKE,1606,1303.54,74
CHRISTMAS TOILET ROLL,3176,3680.05,163
CHRISTMAS TREE DECORATION WITH BELL,457,191.94,22
CHRISTMAS TREE HANGING GOLD,776,690.64,64
CHRISTMAS TREE HANGING SILVER ,747,671.77,67
CHRISTMAS TREE HEART DECORATION,1000,420.0,46
CHRISTMAS TREE PAINTED ZINC ,2283,569.2900000000001,51
CHRISTMAS TREE STAR DECORATION,1138,477.96,49
CHRISTMAS TREE T-LIGHT HOLDER,34,49.3,7
CHRYSANTHEMUM  JOURNAL,71,183.45999999999998,27
CHRYSANTHEMUM NOTEBOOK,95,156.75,36
CHRYSANTHEMUM POCKET BOOK ,64,54.4,20
CHRYSANTHEMUM SKETCHBOOK ,96,374.84,51
CHUNKY SILVER NECKLACE PASTEL FLOWE,21,208.95,12
CINAMMON & ORANGE WREATH,101,654.55,31
CINAMMON SET OF 9 T-LIGHTS,798,672.06,108
CINDERELLA CHANDELIER ,220,3617.6000000000004,22
CINNAMON SCENTED VOTIVE CANDLE,1264,326.23999999999995,38
CIRCUS PARADE BABY GIFT SET,285,4444.75,89
CIRCUS PARADE CHILDRENS EGG CUP ,1047,1313.59,112
CIRCUS PARADE LUNCH BOX ,3375,6122.629999999999,256
CITRONELLA CANDLE FLOWERPOT,701,1448.1000000000001,125
CITRONELLA CANDLE GARDEN POT,1085,1356.25,126
CITRUS GARLAND FELT FLOWERS ,60,117.0,14
CLAM SHELL LARGE,5,18.75,4
CLAM SHELL SMALL ,206,384.13000000000005,30
CLASSIC BICYCLE CLIPS ,1591,2205.95,86
CLASSIC CAFE SUGAR DISPENSER,2634,3038.35,208
CLASSIC CHROME BICYCLE BELL ,2454,3435.7,170
CLASSIC CROME BICYCLE BELL ,60,77.4,2
CLASSIC DIAMANTE EARRINGS JET,6,17.700000000000003,1
CLASSIC DIAMANTE NECKLACE JET,2,15.0,1
CLASSIC FRENCH STYLE BASKET BROWN,296,1240.44,66
CLASSIC FRENCH STYLE BASKET GREEN ,331,1388.65,70
CLASSIC FRENCH STYLE BASKET NATURAL,501,2064.4700000000003,93
CLASSIC GLASS COOKIE JAR,1334,5358.5,248
CLASSIC GLASS SWEET JAR,119,479.45000000000005,14
CLASSIC METAL BIRDCAGE PLANT HOLDER,928,10161.41,260
CLASSIC SUGAR DISPENSER,216,247.32,12
CLASSIC WHITE FRAME,55,162.25,15
CLASSICAL ROSE CANDLESTAND,187,147.35000000000002,7
CLASSICAL ROSE SMALL VASE,138,227.1,10
CLASSICAL ROSE TABLE LAMP,6,55.7,2
CLEAR ACRYLIC FACETED BANGLE,40,58.6,6
CLEAR CRYSTAL STAR PHONE CHARM,47,20.39,6
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,5753,6923.17,321
CLEAR LOVE BIRD T-LIGHT HOLDER,38,146.21,6
CLEAR MILKSHAKE GLASS,36,75.60000000000001,5
CLEAR STATIONERY BOX SET ,6,5.1,2
CLOCK MAGNET MUM'S KITCHEN,304,837.88,40
CLOTHES PEGS RETROSPOT PACK 24 ,8418,12545.38,639
COCKLE SHELL DISH,289,420.88,32
COCKTAIL SWORDS 50 PIECES,900,706.0799999999999,68
COFFEE MUG APPLES DESIGN,2770,6124.15,229
COFFEE MUG BLUE PAISLEY DESIGN,744,1268.06,47
COFFEE MUG CAT + BIRD DESIGN,2118,4529.34,181
COFFEE MUG DOG + BALL DESIGN,1450,3047.3399999999997,143
COFFEE MUG PEARS  DESIGN,2288,4959.85,190
COFFEE MUG PINK PAISLEY DESIGN,684,1559.44,44
COFFEE SCENT PILLAR CANDLE,292,277.4,44
COLOUR GLASS T-LIGHT HOLDER HANGING,15611,9597.710000000001,529
COLOUR GLASS. STAR T-LIGHT HOLDER,5655,16570.29,221
COLOURED GLASS STAR T-LIGHT HOLDER,997,3478.8300000000004,42
COLOURFUL FLOWER FRUIT BOWL,16,50.25,11
COLOURING PENCILS BROWN TUBE,4322,2930.3,218
COLUMBIAN  CUBE CANDLE ,98,47.18,8
COLUMBIAN CANDLE RECTANGLE,176,287.09999999999997,26
COLUMBIAN CANDLE ROUND,404,272.32,45
COLUMBIAN CANDLE ROUND ,168,208.1,29
COLUMBIAN CUBE CANDLE,28,54.599999999999994,12
CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,17,160.39,9
CONGRATULATIONS BUNTING,13,70.85000000000001,3
COOK WITH WINE METAL SIGN ,10209,20315.33,602
COOKING SET RETROSPOT,66,621.66,25
COPPER AND BRASS BAG CHARM,4,24.810000000000002,2
COPPER/OLIVE GREEN FLOWER NECKLACE,6,35.7,4
CORDIAL GLASS JUG,31,255.75,13
CORDIAL JUG,6,49.5,2
CORONA MEXICAN TRAY,143,496.25,18
COSMETIC BAG VINTAGE ROSE PAISLEY,355,728.62,63
COSY HOUR CIGAR BOX MATCHES ,1187,1456.39,143
COSY HOUR GIANT TUBE MATCHES,197,480.75,26
COSY SLIPPER SHOES LARGE GREEN,131,386.45000000000005,28
COSY SLIPPER SHOES SMALL  RED ,45,132.75,18
COSY SLIPPER SHOES SMALL GREEN,143,417.44000000000005,48
COTE D'AZURE NECKLACE,3,14.850000000000001,2
COTTON APRON PANTRY DESIGN,607,2695.29,140
COWBOYS AND INDIANS BIRTHDAY CARD ,3581,1444.75,203
CRACKED GLAZE EARRINGS BROWN,1,2.55,1
CRACKED GLAZE EARRINGS RED,1,2.55,1
CRACKED GLAZE NECKLACE IVORY,6,41.7,2
CRACKED GLAZE NECKLACE RED,6,41.7,3
CRAZY DAISY HEART DECORATION,155,195.52,31
CREAM AND PINK FLOWERS PONY ,11,41.25,5
CREAM BUNNY EASTER EGG BASKET,25,41.24999999999999,3
CREAM CLIMBING HYDRANGA ART FLOWER,30,52.5,3
CREAM CUPID HEARTS COAT HANGER,1918,7125.38,241
CREAM DELPHINIUM ARTIFICIAL FLOWER,70,180.58,8
CREAM FELT EASTER EGG BASKET,916,1450.1999999999998,103
CREAM HANGING HEART T-LIGHT HOLDER,57,155.35,7
CREAM HEART CARD HOLDER,8195,22715.57,452
CREAM SLICE FLANNEL CHOCOLATE SPOT ,193,530.95,34
CREAM SLICE FLANNEL PINK SPOT ,840,2218.8,62
CREAM SWEETHEART EGG HOLDER,750,3547.3,147
CREAM SWEETHEART LETTER RACK,205,866.05,23
CREAM SWEETHEART MINI CHEST,1705,20562.92,445
CREAM SWEETHEART WALL CABINET,7,126.64999999999999,5
CREAM WALL PLANTER HEART SHAPED,417,2402.6600000000003,144
CROCHET BEAR RED/BLUE  KEYRING,15,24.75,3
CROCHET DOG KEYRING,1,1.65,1
CROCHET LILAC/RED BEAR KEYRING,1,1.65,1
CROCHET ROSE DES CLOTHES HANGER,5,14.750000000000002,1
CROCHET ROSE PURSE WITH SUEDE BACK,70,206.50000000000003,17
CROCHET WHITE RABBIT KEYRING ,31,46.349999999999994,3
CRYSTAL CHANDELIER T-LIGHT HOLDER,3,18.75,1
CRYSTAL CZECH CROSS PHONE CHARM,19,13.69,4
CRYSTAL DIAMANTE EXPANDABLE RING,32,136.0,8
CRYSTAL DIAMANTE STAR BROOCH,13,64.35000000000001,7
CRYSTAL FROG PHONE CHARM,85,49.93,11
CRYSTAL HOOP EARRING FLORAL LEAF,12,35.400000000000006,6
CRYSTAL PAIR HEART HAIR SLIDES,18,67.5,7
CRYSTAL SEA HORSE PHONE CHARM,90,33.66,8
CRYSTAL STILETTO PHONE CHARM,24,20.4,2
CRYSTAL STUD EARRINGS ASSORTED COL ,612,232.56,15
CRYSTAL STUD EARRINGS CLEAR DISPLAY,324,123.12,7
CUBIC MUG FLOCK BLUE ON BROWN,127,60.33,17
CUBIC MUG FLOCK PINK ON BROWN,130,57.18,20
CUBIC MUG PINK POLKADOT,489,220.95,34
CUPBOARD 3 DRAWER MA CAMPAGNE,145,2070.95,87
CUPCAKE LACE PAPER SET 6,2321,4355.33,170
CUPID DESIGN SCENTED CANDLES,208,436.4,30
CUPID SCENTED CANDLE IN GLASS,11,18.15,4
CURIO CABINET LINEN AND LACE ,36,290.1,18
CURIOUS  IMAGES NOTEBOOK SET,181,262.25,10
CURIOUS IMAGES GIFT WRAP SET,597,566.4,84
CURIOUS IMAGES SCRAP BOOK SET,3,14.850000000000001,1
CUSHION COVER PINK UNION JACK,108,576.64,37
CUT GLASS HEXAGON T-LIGHT HOLDER,530,918.06,9
CUT GLASS T-LIGHT HOLDER OCTAGON,243,516.45,25
CUTE BIRD CEATURE SCREEN,22,8.58,2
CUTE CATS TAPE,975,315.55,45
CUTE RABBIT CEATURE SCREEN ,11,4.29,2
DAIRY MAID  PUDDING BOWL,5,18.75,2
DAIRY MAID LARGE MILK JUG,327,1593.45,124
DAIRY MAID STRIPE MUG,1907,1721.0900000000001,82
